日文,假名,英文解释
人間,にんげん,human
人類,じんるい,humanity
人,ひと,person
男,おとこ,male
男の人,おとこのひと,man
男の子,おとこのこ,boy
女,おんな,female
女の人,おんなのひと,woman
女の子,おんなのこ,girl
赤ちゃん,あかちゃん,baby
若者,わかもの,"youth, young person"
私,わたし,"I, myself"
私,わたくし,"I, myself [most formal]"
僕,ぼく,"I, myself mainly used by males"
俺,おれ,"I, myself mainly used by males [informal]"
私,あたし,"I, myself mainly used by females [softer sounding]"
少女,しょうじょ,girl
少年,しょうねん,boy
医者,いしゃ,doctor
看護師,かんごし,nurse
看護婦,かんごふ,female nurse
歯医者,はいしゃ,dentist
政治家,せいじか,politician
弁護士,べんごし,lawyer
消防士,しょうぼうし,firefighter
警察官,けいさつかん,police officer
兵士,へいし,soldier
建築家,けんちくか,architect
先生,せんせい,teacher
教師,きょうし,(academic) teacher
歌手,かしゅ,singer
工程师,エンジニア,engineer
足,あし,"foot, leg"
踵,かかと,heel
脛,すね,shin
膝,ひざ,knee
腿,もも,thigh
頭,あたま,head
顔,かお,face
口,くち,mouth
唇,くちびる,lips
歯,は,tooth
鼻,はな,nose
目,め,eye
鬚,ひげ,"moustache, beard"
髪,かみ,hair
耳,みみ,ear
御腹,おなか,stomach
腕,うで,arm
肘,ひじ,elbow
肩,かた,shoulder
爪,つめ,nail
手,て,hand
手首,てくび,wrist
手の平,てのひら,palm of hand
指,ゆび,"finger, toe"
尻,しり,buttocks
お腹,おなか,abdomen
肝臓,かんぞう,liver
肝,きも,liver
筋肉,きんにく,muscle
首,くび,neck
心,こころ,heart [as in feelings]
腰,こし,"waist, hip"
心臓,しんぞう,heart
背中,せなか,back
血,ち,blood
肉,にく,meat
肌膚,はだ,skin
皮膚,ひふ,skin
骨,ほね,bone
胸,むね,chest
風邪,かぜ,cold [illness]
下痢,げり,diarrhea
病気,びょうき,illness
家族,かぞく,family
両親,りょうしん,parents
子供,こども,"children, child"
父,ちち,father (chichi)
母,はは,mother (haha)
妻,つま,wife
夫,おっと,husband
兄,あに,older brother (ani)
姉,あね,older sister (ane)
弟,おとうと,younger brother
妹,いもうと,younger sister
兄弟,きょうだい,"brothers, siblings"
姉妹,しまい,sisters
祖父,そふ,grandfather (sofu)
祖母,そぼ,grandmother (sobo)
孫,まご,grandchild
伯父,おじ,uncle (oji)
伯母,おば,aunt (oba)
従兄弟姉妹,いとこ,cousin
姪,めい,niece
甥,おい,nephew
生き物,いきもの,living creatures
化け物,ばけもの,monster
動物,どうぶつ,animal
豹子,チーター,cheetah
犬,いぬ,dog
猫,ねこ,cat
牛,うし,cow
豚,ぶた,pig
馬,うま,horse
羊,ひつじ,sheep
猿,さる,monkey
鼠,ねずみ,"mouse, rat"
虎,とら,tiger
狼,オオカミ,wolf
兎,うさぎ,rabbit
竜,りゅう,dragon
竜,たつ,dragon
鹿,しか,deer
蛙,かえる,frog
蟇,がま,toad
獅子,しし,lion
麒麟,キリン,giraffe
象,ぞう,elephant
鳥,とり,bird
鶏,にわとり,chicken
雀,すずめ,sparrow
烏,からす,"crow, raven"
鷲,わし,eagle
鷹,たか,"hawk, falcon"
魚,さかな,fish
鯛,たい,red snapper
海老,えび,"shrimp, lobster"
鰯,いわし,sardine
鮪,まぐろ,tuna
鰹,かつお,bonito
秋刀魚,さんま,pike
鰺,あじ,horse mackerel
鯖,さば,mackerel
烏賊,イカ,squid
章魚,タコ,octopus
虫,むし,insect
蝶,ちょう,butterfly
蛾,ガ,moth
蝉,せみ,cicada
蜻蛉,トンボ,dragonfly
飛蝗,バッタ,grasshopper
蜘蛛,クモ,spider
蛍,ホタル,firefly
蠅,ハエ,housefly
蚊,カ,"mosquito, gnat"
蜚蠊,ゴキブリ,cockroach
蝸牛,カタツムリ,snail
蛞蝓,ナメクジ,slug
蚯蚓,ミミズ,earthworm
貝,かい,shellfish
貝殻,かいがら,shell
蜥蜴,トカゲ,lizard
蛇,へび,snake
熊,くま,bear
植物,しょくぶつ,plants
草,くさ,grass
花,はな,flower
実,み,fruit
木,き,tree
葉っぱ,はっぱ,leaf
根っ子,ねっこ,root
茎,くき,stem
茸,きのこ,mushroom
菊,きく,chrysanthemum
桜,さくら,cherry blossom
松,まつ,pine tree
梅,うめ,japanese plum or apricot
米,こめ,uncooked rice
稲,いね,rice growing in a field
麦,むぎ,"wheat, barley, oats"
野菜,やさい,vegetable
果物,くだもの,fruit for eating
芋,いも,"yam, potato, taro"
豆,まめ,"beans, peas"
大根,だいこん,Japanese white radish
人参,にんじん,carrot
林檎,リンゴ,apple
蜜柑,ミカン,mandarin orange
甘蕉,バナナ,banana
甘蕉,かんしょう,banana
梨,ナシ,pear
栗,クリ,chestnut tree
桃,モモ,peach
蕃茄,トマト,tomato
蕃茄,ばんか,tomato
西瓜,スイカ,watermelon
食べ物,たべもの,food
朝食,ちょうしょく,breakfast
昼御飯,ひるごはん,lunch
晩御飯,ばんごはん,dinner
御飯,ごはん,cooked rice or meal
味噌,みそ,miso
料理,りょうり,cooking
沙拉,サラダ,salad
甜点,デザート,dessert
面包,パン,bread
三明治,サンドイッチ,sandwich
間食,おやつ,snack
冰淇淋,アイスクリーム,ice cream
たこ焼き,たこやき,octopus dumpling
飲み物,のみもの,drink/beverage
茶,ちゃ,tea
お茶,おちゃ,green tea
珈琲,コーヒー,coffee
牛乳,ぎゅうにゅう,milk
水,みず,water
啤酒,ビール,beer
白酒,ワイン,wine
砂糖,さとう,sugar
塩,しお,salt
醤油,しょうゆ,soy sauce
時間,じかん,time
暦,カレンダー,calendar
暦,こよみ,calendar
分,ふん,minute
秒,びょう,second
日,にち,day
月,がつ,month
年,とし,year
年,ねん,year
昨日,さくじつ,yesterday
昨日,きのう,yesterday
今日,きょう,today
明日,あした,tomorrow
明日,あす,tomorrow
朝,あさ,morning
昼,ひる,afternoon
夕方,ゆうがた,evening
晩,ばん,evening
夜,よる,"evening, night"
曜日,ようび,~day
週,しゅう,week
一週間,いっしゅうかん,one week
日曜日,にちようび,Sunday
月曜日,げつようび,Monday
火曜日,かようび,Tuesday
水曜日,すいようび,Wednesday
木曜日,もくようび,Thursday
金曜日,きんようび,Friday
土曜日,どようび,Saturday
太陽,たいよう,sun
月,つき,moon
星,ほし,star
天気,てんき,weather
晴れ,はれ,clear weather
雨,あめ,rain
曇り,くもり,cloudy
雪,ゆき,snow
風,かぜ,wind
雷,かみなり,"thunder, lightning"
台風,たいふう,typhoon
嵐,あらし,storm
空,そら,sky
北,きた,north
東,ひがし,east
南,みなみ,south
西,にし,west
这里,ここ,here
那里,そこ,there
那边,あそこ,over there
右,みぎ,right
左,ひだり,left
上,うえ,"above, up"
下,した,"below, down"
前,まえ,front
後,うしろ,behind
向こう,むこう,"the other side, opposite side"
斜め,ななめ,diagonal
手前,てまえ,"nearer, more in front"
遠い,とおい,far
近い,ちかい,"near, close"
水,みず,water
湯,ゆ,hot water
氷,こおり,ice
湯気,ゆげ,steam
火,ひ,fire
燃气,ガス,gas
空気,くうき,"air, atmosphere"
土,つち,"earth, ground"
金属,きんぞく,"metal, metallic"
泥,どろ,"mud, mire, clay, plaster"
煙,けむり,"smoke, tobacco, opium"
鉄,てつ,iron [Fe]
銅,どう,copper [Cu]
金,きん,gold [Au]; money
銀,ぎん,silver [Ag]; wealth
鉛,なまり,lead [Pb]
塩,しお,salt [NaCl]
社会,しゃかい,society
経済,けいざい,"economy, economics"
会社,かいしゃ,company
会議,かいぎ,meeting
学校,がっこう,school
役所,やくしょ,local government office
店,みせ,store
工場,こうじょう,factory
金,かね,money
札,さつ,bill [of money]
小銭,こぜに,small change
釣り銭、,つりせん,"change (tsurisen), change"
自動販売機,じどうはんばいき,vending machine
切符,きっぷ,ticket
切手,きって,stamp
机,つくえ,desk
椅子,いす,"chair, position"
畳,たたみ,a tatami mat
戸,と,"door, family"
扉,とびら,door panel
门,ドア,door
窓,まど,window
布団,ふとん,futon
玄関,げんかん,entrance
家,いえ,"house, home"
电梯,エレベーター,elevator
